"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"BEL","GRADRATEFIELD","HEALTH","PC","A","2013",24.623,
"BEL","GRADRATEFIELD","HEALTH","PC","A","2014",,"M"
"BEL","GRADRATEFIELD","HEALTH","PC","A","2015",26.63,
"BEL","GRADRATEFIELD","HEALTH","PC","A","2016",27.303,
"BEL","GRADRATEFIELD","HEALTH","PC","A","2017",28.18,
"BEL","GRADRATEFIELD","ARTS","PC","A","2005",,"M"
"BEL","GRADRATEFIELD","ARTS","PC","A","2010",12.31,
"BEL","GRADRATEFIELD","ARTS","PC","A","2011",,"M"
"BEL","GRADRATEFIELD","ARTS","PC","A","2012",11.783,
"BEL","GRADRATEFIELD","ARTS","PC","A","2013",11.474,
"BEL","GRADRATEFIELD","ARTS","PC","A","2014",,"M"
"BEL","GRADRATEFIELD","ARTS","PC","A","2015",11,
"BEL","GRADRATEFIELD","ARTS","PC","A","2016",10.324,
"BEL","GRADRATEFIELD","ARTS","PC","A","2017",10.086,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2005",,"M"
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2010",20.58,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2011",,"M"
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2012",20.097,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2013",20.148,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2014",,"M"
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2015",21.014,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2016",21.757,
"BEL","GRADRATEFIELD","BUSINESS","PC","A","2017",22.15,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2005",,"M"
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2010",11.853,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2011",,"M"
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2012",11.998,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2013",12.374,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2014",,"M"
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2015",11.821,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2016",11.924,
"BEL","GRADRATEFIELD","ENGINEERING","PC","A","2017",11.63,
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2005",,"M"
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2010",12.451,
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2011",,"M"
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2012",12.21,
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2013",12.095,
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2014",,"M"
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2015",11.272,
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2016",10.58,
"BEL","GRADRATEFIELD","SOC_SCI","PC","A","2017",9.965,
"CAN","GRADRATEFIELD","EDU","PC","A","2005",9.604,
"CAN","GRADRATEFIELD","EDU","PC","A","2010",8.707,
"CAN","GRADRATEFIELD","EDU","PC","A","2011",9.867,
"CAN","GRADRATEFIELD","EDU","PC","A","2012",8.146,
"CAN","GRADRATEFIELD","EDU","PC","A","2013",7.946,
"CAN","GRADRATEFIELD","EDU","PC","A","2014",7.907,
"CAN","GRADRATEFIELD","EDU","PC","A","2015",6.152,
"CAN","GRADRATEFIELD","EDU","PC","A","2016",7.696,
"CAN","GRADRATEFIELD","EDU","PC","A","2017",5.795,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2005",13.55,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2010",14.415,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2011",14.808,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2012",14.869,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2013",14.875,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2014",14.367,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2015",14.535,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2016",14.168,
"CAN","GRADRATEFIELD","HEALTH","PC","A","2017",14.719,
"CAN","GRADRATEFIELD","ARTS","PC","A","2005",11.702,
"CAN","GRADRATEFIELD","ARTS","PC","A","2010",11.223,
"CAN","GRADRATEFIELD","ARTS","PC","A","2011",10.419,
"CAN","GRADRATEFIELD","ARTS","PC","A","2012",11.35,
"CAN","GRADRATEFIELD","ARTS","PC","A","2013",11.451,
"CAN","GRADRATEFIELD","ARTS","PC","A","2014",10.901,
"CAN","GRADRATEFIELD","ARTS","PC","A","2015",11.22,
"CAN","GRADRATEFIELD","ARTS","PC","A","2016",10.477,
"CAN","GRADRATEFIELD","ARTS","PC","A","2017",9.655,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2005",23.412,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2010",25.582,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2011",26.682,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2012",25.446,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2013",25.3,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2014",26.482,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2015",26.139,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2016",25.981,
"CAN","GRADRATEFIELD","BUSINESS","PC","A","2017",27.36,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2005",11.441,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2010",10.969,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2011",10.883,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2012",10.806,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2013",10.8,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2014",10.974,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2015",11.501,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2016",12.167,
"CAN","GRADRATEFIELD","ENGINEERING","PC","A","2017",13.091,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2005",13.025,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2010",13.327,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2011",11.898,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2012",13.137,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2013",13.272,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2014",15.603,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2015",16.145,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2016",15.53,
"CAN","GRADRATEFIELD","SOC_SCI","PC","A","2017",15.046,
"CZE","GRADRATEFIELD","EDU","PC","A","2005",,"M"
"CZE","GRADRATEFIELD","EDU","PC","A","2010",,"M"
"CZE","GRADRATEFIELD","EDU","PC","A","2011",,"M"
"CZE","GRADRATEFIELD","EDU","PC","A","2012",,"M"
"CZE","GRADRATEFIELD","EDU","PC","A","2013",11.752,
"CZE","GRADRATEFIELD","EDU","PC","A","2014",11.35,
"CZE","GRADRATEFIELD","EDU","PC","A","2015",10.982,
"CZE","GRADRATEFIELD","EDU","PC","A","2016",10.48,
"CZE","GRADRATEFIELD","EDU","PC","A","2017",10.549,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2005",,"M"
"CZE","GRADRATEFIELD","HEALTH","PC","A","2010",,"M"
"CZE","GRADRATEFIELD","HEALTH","PC","A","2011",,"M"
"CZE","GRADRATEFIELD","HEALTH","PC","A","2012",,"M"
"CZE","GRADRATEFIELD","HEALTH","PC","A","2013",10.458,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2014",10.964,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2015",10.867,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2016",11.531,
"CZE","GRADRATEFIELD","HEALTH","PC","A","2017",12.325,
"CZE","GRADRATEFIELD","ARTS","PC","A","2005",,"M"
"CZE","GRADRATEFIELD","ARTS","PC","A","2010",,"M"
"CZE","GRADRATEFIELD","ARTS","PC","A","2011",,"M"
"CZE","GRADRATEFIELD","ARTS","PC","A","2012",,"M"
"CZE","GRADRATEFIELD","ARTS","PC","A","2013",8.479,
"CZE","GRADRATEFIELD","ARTS","PC","A","2014",8.43,
"CZE","GRADRATEFIELD","ARTS","PC","A","2015",8.387,
"CZE","GRADRATEFIELD","ARTS","PC","A","2016",8.546,
"CZE","GRADRATEFIELD","ARTS","PC","A","2017",8.495,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2005",,"M"
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2010",,"M"
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2011",,"M"
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2012",,"M"
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2013",26.83,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2014",26.993,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2015",22.59,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2016",21.514,
"CZE","GRADRATEFIELD","BUSINESS","PC","A","2017",20.618,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2005",,"M"
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2010",,"M"
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2011",,"M"
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2012",,"M"
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2013",13.639,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2014",14.4,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2015",15.806,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2016",15.883,
"CZE","GRADRATEFIELD","ENGINEERING","PC","A","2017",15.935,
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2005",,"M"
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2010",,"M"
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2011",,"M"
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2012",,"M"
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2013",9.596,
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2014",9.052,
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2015",11.32,
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2016",11.46,
"CZE","GRADRATEFIELD","SOC_SCI","PC","A","2017",10.697,
"DNK","GRADRATEFIELD","EDU","PC","A","2005",10.752,
"DNK","GRADRATEFIELD","EDU","PC","A","2010",9.048,
"DNK","GRADRATEFIELD","EDU","PC","A","2011",7.839,
"DNK","GRADRATEFIELD","EDU","PC","A","2012",7.949,
"DNK","GRADRATEFIELD","EDU","PC","A","2013",6.874,
"DNK","GRADRATEFIELD","EDU","PC","A","2014",7.377,
"DNK","GRADRATEFIELD","EDU","PC","A","2015",8.804,
"DNK","GRADRATEFIELD","EDU","PC","A","2016",5.786,
"DNK","GRADRATEFIELD","EDU","PC","A","2017",6.038,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2005",24.413,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2010",23.462,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2011",21.989,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2012",19.988,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2013",20.988,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2014",21.22,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2015",21.632,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2016",20.335,
"DNK","GRADRATEFIELD","HEALTH","PC","A","2017",20.882,
"DNK","GRADRATEFIELD","ARTS","PC","A","2005",13.662,
"DNK","GRADRATEFIELD","ARTS","PC","A","2010",13.354,
"DNK","GRADRATEFIELD","ARTS","PC","A","2011",11.869,
"DNK","GRADRATEFIELD","ARTS","PC","A","2012",12.483,
"DNK","GRADRATEFIELD","ARTS","PC","A","2013",12.25,
"DNK","GRADRATEFIELD","ARTS","PC","A","2014",11.736,
"DNK","GRADRATEFIELD","ARTS","PC","A","2015",12.867,
"DNK","GRADRATEFIELD","ARTS","PC","A","2016",13.175,
"DNK","GRADRATEFIELD","ARTS","PC","A","2017",12.283,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2005",19.602,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2010",22.311,
"DNK","GRADRATEFIELD","BUSINESS","PC","A","2011",25.4,
